,name,position,nation,age,club,league,mins_played,ninety_mins_played,goals_scored,penalty_goals,non_pen_exp_goals,exp_goals,assists,exp_assists,total_shots,shots_on_target,goals_per_shot,goals_per_sot,shot_on_target_perc,avg_shot_distance,key_passes,shot_creation_per_90,goal_creation_per_90,pass_completion_perc,progressive_carries,total_carries,total_touches,touches_in_attacking_third,touches_in_pen,progressive_runs,times_dispossessed,passes_received,aerial_duels_won,aerial_duels_lost,aerial_duel_win_perc,tackles,tackles_and_interceptions,goals_per_ninety,exp_goals_per_ninety,goals_minus_exp_goals
406,Ritsu Doan,"FW,MF",jp JPN,26.0,Freiburg,de Bundesliga,2862,31.8,10,0,6.6,6.6,7,3.7,61,21,0.16393442622950818,0.47619047619047616,34.42622950819672,16.7,27,3.49,0.5,71.8,64,827,1537,7,108,178,62,1031,16,21,43.24324324324324,66,80,0.31446540880503143,0.20754716981132074,3.4000000000000004
407,Robert Lewandowski,FW,pl POL,36.0,Barcelona,es La Liga,2667,29.6,27,3,23.9,27.1,2,2.3,111,45,0.24324324324324326,0.6,40.54054054054054,13.199999999999998,19,1.69,0.1,73.4,26,471,841,4,179,164,45,667,36,6,85.71428571428571,10,13,0.9121621621621622,0.9155405405405406,-0.10000000000000142
408,Roberto Férnandez,FW,es ESP,22.0,Espanyol,es La Liga,1497,16.6,6,0,3.6,3.6,0,0.6,21,9,0.2857142857142857,0.6666666666666666,42.857142857142854,14.0,8,1.68,0.18,72.2,7,227,436,1,37,50,16,292,34,5,87.17948717948718,4,7,0.36144578313253006,0.21686746987951805,2.4
410,Roberto Piccoli,FW,it ITA,24.0,Cagliari,it Serie A,3127,34.7,10,1,12.0,12.7,1,0.9,97,28,0.10309278350515463,0.35714285714285715,28.865979381443296,13.1,13,1.64,0.23,66.3,30,511,919,5,144,165,46,666,110,9,92.43697478991596,13,16,0.2881844380403458,0.3659942363112391,-2.6999999999999993
412,Rodrigo Muniz,FW,br BRA,24.0,Fulham,eng Premier League,964,10.7,8,0,5.8,5.8,1,0.7,39,19,0.20512820512820512,0.42105263157894735,48.717948717948715,12.0,7,1.59,0.19,64.8,6,157,311,2,55,31,24,237,67,0,100.0,10,15,0.7476635514018692,0.5420560747663552,2.2
413,Rodrygo,"FW,MF",br BRA,24.0,Real Madrid,es La Liga,1928,21.4,6,0,3.9,4.0,5,2.9999999999999996,54,20,0.1111111111111111,0.3,37.03703703703704,16.4,49,4.95,0.42,85.9,113,889,1340,2,127,253,15,1068,7,16,30.434782608695656,21,32,0.28037383177570097,0.1869158878504673,2.0
414,Romain Del Castillo,FW,fr FRA,29.0,Brest,fr Ligue 1,1259,14.0,6,3,1.5,4.7,4,3.4,17,8,0.35294117647058826,0.75,47.05882352941176,19.7,37,4.79,0.64,69.8,29,438,840,9,41,106,17,565,8,13,38.095238095238095,31,37,0.42857142857142855,0.33571428571428574,1.2999999999999998
415,Romelu Lukaku,FW,be BEL,32.0,Napoli,it Serie A,2843,31.6,14,3,9.8,13.0,10,4.0,60,20,0.23333333333333334,0.7,33.33333333333333,14.3,35,2.4,0.51,71.0,31,380,725,2,143,219,53,589,42,3,93.33333333333333,4,5,0.4430379746835443,0.4113924050632911,1.0
421,Samuel Essende,FW,cd COD,27.0,Augsburg,de Bundesliga,1636,18.2,7,0,4.2,4.2,2,1.3,44,13,0.1590909090909091,0.5384615384615384,29.545454545454547,13.9,11,1.48,0.16,64.8,33,347,564,3,93,118,37,433,57,1,98.27586206896551,7,7,0.38461538461538464,0.23076923076923078,2.8
422,Sandro Ramírez,"FW,MF",es ESP,29.0,Las Palmas,es La Liga,2034,22.6,9,1,3.3,4.1,3,3.4,51,20,0.17647058823529413,0.45,39.21568627450981,24.3,28,2.61,0.27,64.2,52,469,930,4,64,121,28,575,12,17,41.37931034482759,27,43,0.3982300884955752,0.1814159292035398,4.9
423,Santiago Castro,FW,ar ARG,20.0,Bologna,it Serie A,2294,25.5,8,0,6.9,7.7,4,2.9,62,20,0.12903225806451613,0.4,32.25806451612903,15.8,28,2.71,0.43,76.8,17,428,722,5,101,136,64,519,37,11,77.08333333333334,18,21,0.3137254901960784,0.30196078431372547,0.2999999999999998
425,Sebastian Nanasi,"MF,FW",se SWE,23.0,Strasbourg,fr Ligue 1,2107,23.4,6,0,6.5,6.5,4,4.9,28,12,0.21428571428571427,0.5,42.857142857142854,12.4,37,3.63,0.7299999999999999,79.2,53,557,992,2,73,127,15,690,3,14,17.647058823529413,20,27,0.25641025641025644,0.2777777777777778,-0.5
426,Sebastiano Esposito,"FW,MF",it ITA,22.0,Empoli,it Serie A,2331,25.9,8,1,4.2,5.7,0,2.1,59,19,0.13559322033898305,0.42105263157894735,32.20338983050847,19.8,36,3.05,0.23,60.2,31,565,1081,11,95,106,50,712,26,17,60.46511627906976,57,69,0.3088803088803089,0.2200772200772201,2.3
427,Serge Gnabry,"FW,MF",de GER,29.0,Bayern Munich,de Bundesliga,1242,13.8,7,0,6.8,7.5,5,5.1,48,17,0.14583333333333334,0.4117647058823529,35.41666666666667,15.699999999999998,24,4.06,0.94,83.4,44,468,758,7,96,149,7,581,4,4,50.0,20,26,0.5072463768115941,0.5434782608695652,-0.5
430,Serhou Guirassy,FW,gn GUI,29.0,Dortmund,de Bundesliga,2598,28.9,21,3,19.6,22.7,4,3.9,86,33,0.2441860465116279,0.6363636363636364,38.372093023255815,12.1,25,1.84,0.35,72.7,25,528,965,3,160,128,30,747,109,3,97.32142857142857,7,11,0.726643598615917,0.7854671280276817,-1.6999999999999993
433,Shuto Machino,"FW,MF",jp JPN,25.0,Holstein Kiel,de Bundesliga,1953,21.7,11,2,4.9,6.499999999999999,2,3.0,49,21,0.22448979591836735,0.5238095238095238,42.857142857142854,17.2,27,3.41,0.4099999999999999,64.2,30,449,899,1,63,108,20,581,27,10,72.97297297297297,8,15,0.5069124423963134,0.2995391705069124,4.500000000000001
435,Sofiane Diop,"MF,FW",fr FRA,24.0,Nice,fr Ligue 1,1064,11.8,6,0,6.000000000000001,6.000000000000001,4,2.9,22,11,0.2727272727272727,0.5454545454545454,50.0,16.4,24,3.98,0.7599999999999999,77.2,26,399,714,4,35,70,18,508,3,13,18.75,23,40,0.5084745762711864,0.5084745762711865,-8.881784197001252e-16
436,Son Heung-min,FW,kr KOR,32.0,Tottenham,eng Premier League,2110,23.4,7,1,5.6,7.2,9,8.2,55,24,0.12727272727272726,0.2916666666666667,43.63636363636363,17.0,50,4.99,0.64,78.9,96,761,1134,6,122,265,32,867,6,22,21.428571428571427,17,22,0.29914529914529914,0.3076923076923077,-0.20000000000000018
439,Steven Skrzybski,"MF,FW",de GER,32.0,Holstein Kiel,de Bundesliga,1323,14.7,6,1,2.7,3.5,3,2.9,32,12,0.1875,0.5,37.5,20.2,22,3.47,0.34,70.0,17,313,619,6,45,71,22,398,6,17,26.08695652173913,19,30,0.40816326530612246,0.2380952380952381,2.5
443,Takumi Minamino,"MF,FW",jp JPN,30.0,Monaco,fr Ligue 1,2231,24.8,6,0,8.9,8.9,3,6.6,57,20,0.10526315789473684,0.3,35.08771929824561,14.7,40,3.23,0.28,70.7,51,567,1016,12,135,193,23,709,19,27,41.30434782608695,33,43,0.24193548387096772,0.3588709677419355,-2.9000000000000004
450,Thierno Barry,FW,fr FRA,22.0,Villarreal,es La Liga,2323,25.8,11,1,11.7,12.5,4,2.8999999999999995,71,24,0.15492957746478872,0.4583333333333333,33.80281690140845,12.0,23,1.78,0.23,62.0,44,347,624,4,126,124,27,485,99,6,94.28571428571428,11,11,0.4263565891472868,0.4844961240310077,-1.5
453,Tiago Tomás,"FW,MF",pt POR,22.0,Wolfsburg,de Bundesliga,1884,20.9,6,0,5.4,5.4,1,2.6,42,20,0.14285714285714285,0.3,47.61904761904761,16.0,20,2.63,0.38,69.3,31,503,782,7,78,125,35,556,9,20,31.03448275862069,33,42,0.28708133971291866,0.2583732057416268,0.5999999999999996
454,Tim Kleindienst,FW,de GER,29.0,Gladbach,de Bundesliga,2737,30.4,16,1,11.9,13.6,7,6.2,73,36,0.2191780821917808,0.4444444444444444,49.31506849315068,12.9,29,2.24,0.46,60.89999999999999,45,545,1149,9,137,145,42,797,149,25,85.63218390804597,30,42,0.5263157894736842,0.4473684210526316,2.4000000000000004
465,Valentín Castellanos,FW,ar ARG,26.0,Lazio,it Serie A,2384,26.5,10,2,11.1,13.300000000000002,3,3.6,105,36,0.09523809523809523,0.2777777777777778,34.285714285714285,16.8,26,2.76,0.53,67.7,27,423,835,7,155,149,29,618,68,9,88.31168831168831,13,19,0.37735849056603776,0.5018867924528303,-3.3000000000000025
466,Vedat Muriqi,FW,xk KVX,31.0,Mallorca,es La Liga,2058,22.9,7,2,7.3,9.7,2,2.2,52,16,0.1346153846153846,0.4375,30.76923076923077,12.3,26,1.97,0.26,60.6,23,334,733,2,114,103,26,550,135,4,97.12230215827337,7,14,0.30567685589519655,0.42358078602620086,-2.6999999999999993
467,Victor Boniface,FW,ng NGA,24.0,Leverkusen,de Bundesliga,1008,11.2,8,0,7.1000000000000005,7.800000000000001,1,1.1,50,17,0.16,0.47058823529411764,34.0,14.5,10,2.86,0.27,70.2,26,207,400,2,77,61,29,319,32,1,96.96969696969697,5,5,0.7142857142857143,0.6964285714285715,0.1999999999999993
469,Vincenzo Grifo,"FW,MF",it ITA,32.0,Freiburg,de Bundesliga,2432,27.0,8,0,5.6,7.9,11,6.9,63,26,0.12698412698412698,0.3076923076923077,41.269841269841265,20.8,66,4.48,0.56,76.7,58,939,1768,5,71,147,17,1186,15,19,44.11764705882353,30,39,0.2962962962962963,0.2925925925925926,0.09999999999999964
470,Vinicius Júnior,FW,br BRA,24.0,Real Madrid,es La Liga,2253,25.0,11,2,8.2,10.4,8,8.0,78,24,0.14102564102564102,0.4583333333333333,30.76923076923077,17.5,58,5.39,0.72,74.7,169,952,1264,10,199,256,49,1059,1,13,7.142857142857142,21,24,0.44,0.41600000000000004,0.5999999999999996
478,Yankuba Minteh,"FW,MF",gm GAM,20.0,Brighton,eng Premier League,1838,20.4,6,0,4.1,4.1,4,5.0,34,16,0.17647058823529413,0.375,47.05882352941176,13.8,29,3.14,0.64,62.5,90,481,836,10,146,201,28,511,17,28,37.77777777777778,48,59,0.29411764705882354,0.20098039215686275,1.9000000000000004
484,Yoane Wissa,FW,cd COD,28.0,Brentford,eng Premier League,2919,32.4,19,0,18.5,18.5,4,2.6,90,41,0.2111111111111111,0.4634146341463415,45.55555555555556,13.2,27,2.13,0.31,76.5,60,550,925,8,163,154,35,658,30,16,65.21739130434783,22,30,0.5864197530864198,0.5709876543209876,0.5
486,Zakaria Aboukhlal,"MF,FW",ma MAR,25.0,Toulouse,fr Ligue 1,1901,21.1,7,1,8.6,10.2,2,1.6,62,26,0.11290322580645161,0.2692307692307692,41.935483870967744,14.6,12,1.61,0.33,63.3,34,375,613,7,113,164,26,450,22,19,53.65853658536586,22,28,0.33175355450236965,0.48341232227488146,-3.1999999999999993
488,Zuriko Davitashvili,"FW,MF",ge GEO,24.0,Saint-Étienne,fr Ligue 1,2778,30.9,9,2,6.6,8.1,8,4.7,68,24,0.1323529411764706,0.375,35.294117647058826,19.4,50,3.85,0.5,78.6,95,764,1298,6,123,224,57,905,14,34,29.166666666666668,22,36,0.29126213592233013,0.2621359223300971,0.9000000000000004
489,Álex Berenguer,"FW,MF",es ESP,29.0,Athletic Club,es La Liga,2339,26.0,6,0,6.0,6.799999999999999,7,5.0,51,18,0.11764705882352941,0.3333333333333333,35.294117647058826,18.4,46,3.77,0.54,65.8,65,643,1249,9,86,216,49,809,27,18,60.0,31,41,0.23076923076923078,0.2615384615384615,-0.7999999999999989
