,name,position,nation,age,club,league,mins_played,ninety_mins_played,goals_scored,penalty_goals,non_pen_exp_goals,exp_goals,assists,exp_assists,total_shots,shots_on_target,goals_per_shot,goals_per_sot,shot_on_target_perc,avg_shot_distance,key_passes,shot_creation_per_90,goal_creation_per_90,pass_completion_perc,progressive_carries,total_carries,total_touches,touches_in_attacking_third,touches_in_pen,progressive_runs,times_dispossessed,passes_received,aerial_duels_won,aerial_duels_lost,aerial_duel_win_perc,tackles,tackles_and_interceptions,goals_per_ninety,exp_goals_per_ninety,goals_minus_exp_goals
315,Marvin Ducksch,FW,de GER,31.0,Werder Bremen,de Bundesliga,2418,26.9,8,1,8.5,10.1,8,8.5,70,27,0.11428571428571428,0.2962962962962963,38.57142857142858,17.3,61,3.83,0.45,61.7,26,538,1105,2,116,166,11,673,19,11,63.33333333333333,10,18,0.29739776951672864,0.3754646840148699,-2.0999999999999996
316,Marvin Pieringer,"FW,MF",de GER,25.0,Heidenheim,de Bundesliga,2206,24.5,7,3,6.6,8.9,4,4.0,57,17,0.12280701754385964,0.4117647058823529,29.82456140350877,15.1,30,2.81,0.29,65.8,23,467,849,6,97,115,24,607,73,5,93.58974358974359,23,31,0.2857142857142857,0.363265306122449,-1.9000000000000004
317,Mason Greenwood,"FW,MF",eng ENG,23.0,Marseille,fr Ligue 1,2804,31.2,21,7,9.1,16.3,5,5.7,111,45,0.1891891891891892,0.4666666666666667,40.54054054054054,19.8,47,3.95,0.61,78.40000000000002,126,1214,1746,11,151,295,44,1451,8,23,25.806451612903224,35,47,0.6730769230769231,0.5224358974358975,4.699999999999999
318,Mateo Retegui,FW,it ITA,26.0,Atalanta,it Serie A,2383,26.5,25,4,14.9,18.9,8,4.900000000000001,99,32,0.25252525252525254,0.78125,32.323232323232325,12.8,38,2.87,0.53,76.5,21,558,874,5,173,199,48,705,51,13,79.6875,14,18,0.9433962264150944,0.7132075471698113,6.100000000000001
319,Matheus Cunha,"MF,FW",br BRA,25.0,Wolves,eng Premier League,2597,28.9,15,0,8.6,8.6,6,7.7,110,44,0.13636363636363635,0.3409090909090909,40.0,20.5,56,4.57,0.55,71.6,112,904,1561,5,133,161,55,1056,13,26,33.33333333333333,38,55,0.5190311418685122,0.2975778546712803,6.4
326,Matthis Abline,FW,fr FRA,22.0,Nantes,fr Ligue 1,2768,30.8,9,1,7.700000000000001,8.5,2,3.8,73,26,0.1232876712328767,0.34615384615384615,35.61643835616438,15.0,27,1.98,0.29,65.2,75,587,878,5,142,169,65,689,64,6,91.42857142857143,11,15,0.2922077922077922,0.275974025974026,0.5
328,Mattia Zaccagni,FW,it ITA,29.0,Lazio,it Serie A,2686,29.8,8,2,4.9,6.4,6,4.6,46,14,0.17391304347826086,0.5714285714285714,30.434782608695656,17.3,55,3.59,0.3,75.8,91,911,1458,4,100,264,40,1084,19,16,54.285714285714285,38,67,0.2684563758389262,0.21476510067114093,1.5999999999999996
329,Maximilian Beier,"FW,MF",de GER,22.0,Dortmund,de Bundesliga,1591,17.7,8,0,7.7,7.7,5,3.3,42,13,0.19047619047619047,0.6153846153846154,30.952380952380953,12.599999999999998,24,3.11,0.4,70.5,24,338,618,6,88,124,26,423,23,19,54.761904761904766,25,32,0.4519774011299435,0.43502824858757067,0.2999999999999998
331,Michael Olise,"FW,MF",fr FRA,23.0,Bayern Munich,de Bundesliga,2334,25.9,12,0,9.7,9.7,15,11.999999999999998,86,36,0.13953488372093023,0.3333333333333333,41.86046511627907,17.6,90,6.51,0.96,81.4,119,1305,1957,5,148,381,29,1556,11,21,34.375,36,44,0.46332046332046334,0.3745173745173745,2.3000000000000007
333,Mika Biereth,FW,dk DEN,22.0,Monaco,fr Ligue 1,1228,13.6,13,1,9.7,11.3,2,4.5,40,22,0.325,0.5909090909090909,55.00000000000001,11.6,22,2.78,0.29,61.8,14,212,382,2,98,110,16,286,18,4,81.81818181818183,5,9,0.9558823529411765,0.8308823529411765,1.6999999999999993
