,name,position,nation,age,club,league,mins_played,ninety_mins_played,goals_scored,penalty_goals,non_pen_exp_goals,exp_goals,assists,exp_assists,total_shots,shots_on_target,goals_per_shot,goals_per_sot,shot_on_target_perc,avg_shot_distance,key_passes,shot_creation_per_90,goal_creation_per_90,pass_completion_perc,progressive_carries,total_carries,total_touches,touches_in_attacking_third,touches_in_pen,progressive_runs,times_dispossessed,passes_received,aerial_duels_won,aerial_duels_lost,aerial_duel_win_perc,tackles,tackles_and_interceptions
19,Adrian Beck,"MF,FW",de GER,27.0,Heidenheim,de Bundesliga,1598,17.8,4,0,3.3,3.3,1,1.2,39,13,0.1,0.31,33.3,17.8,21,3.16,0.23,80.1,37,553,962,6,53,83,26,584,29,23,59.2,36,45
22,Adrià Altimira,"DF,FW",es ESP,24.0,Leganés,es La Liga,1630,18.1,0,0,0.3,0.3,0,0.5,7,2,0.0,0.0,28.6,24.1,11,1.16,0.06,78.5,23,370,826,3,8,69,7,432,12,16,38.7,41,56
25,Aitor Ruibal,"DF,FW",es ESP,29.0,Betis,es La Liga,1313,14.6,1,0,0.9,0.9,3,2.4,16,4,0.06,0.25,25.0,19.0,20,2.46,0.27,80.9,21,398,790,6,33,64,16,459,7,22,35.0,32,46
26,Akor Adams,FW,ng NGA,25.0,"Sevilla, Montpellier","es La Liga, fr Ligue 1",1209,13.4,3,0,3.8634328358208956,3.8634328358208956,1,0.8880597014925373,28,13,0.11142857142857143,0.23076923076923078,46.471428571428575,13.935714285714285,12,1.8560447761194028,0.3729850746268657,63.97192982456141,11,131,285,1,50,50,14,194,34,1,48.60285714285714,4,5
27,Alassane Pléa,"MF,FW",fr FRA,32.0,Gladbach,de Bundesliga,1902,21.1,11,1,6.599999999999999,7.4,4,3.1,41,12,0.24,0.83,29.299999999999997,15.199999999999998,25,3.41,0.66,72.1,51,601,979,5,77,141,22,773,15,9,31.899999999999995,7,9
28,Albert Grønbaek,"FW,MF",dk DEN,24.0,"Southampton, Rennes","eng Premier League, fr Ligue 1",956,10.6,2,0,1.288679245283019,1.288679245283019,1,0.8490566037735849,24,9,0.0825,,37.49166666666667,18.916666666666668,20,2.9156603773584906,0.4669811320754717,63.642452830188674,24,236,424,6,43,61,19,271,6,25,47.980645161290326,25,29
29,Albert Guðmundsson,"FW,MF",is ISL,27.0,Fiorentina,it Serie A,1273,14.1,6,2,3.1,4.7,1,1.8,25,13,0.16,0.31,52.0,20.6,15,2.76,0.35,83.0,35,402,624,3,32,59,14,466,4,10,25.0,9,15
32,Alberto Moleiro,"FW,MF",es ESP,21.0,Las Palmas,es La Liga,2714,30.2,6,0,5.6,5.6,1,3.3,68,24,0.09,0.25,35.3,19.0,41,3.52,0.2,81.3,97,946,1416,1,102,179,48,1097,5,30,18.5,27,45
34,Alejandro Garnacho,"MF,FW",ar ARG,20.0,Manchester Utd,eng Premier League,2199,24.4,6,0,7.3,7.3,2,4.5,84,29,0.07,0.21,34.5,17.0,37,3.4,0.25,78.9,141,840,1159,13,176,290,48,888,3,25,11.1,30,43
35,Alejandro Jiménez,"DF,FW",es ESP,20.0,Milan,it Serie A,1266,14.1,0,0,0.8000000000000002,0.8000000000000002,1,1.3000000000000003,15,5,0.0,0.0,33.3,22.1,12,2.42,0.28,80.1,55,423,729,2,37,72,13,437,9,16,40.9,24,39
36,Alejo Véliz,FW,ar ARG,21.0,Espanyol,es La Liga,1127,12.5,1,0,2.3,2.3,0,0.6,19,6,0.05,0.17,31.599999999999998,10.7,3,1.1,0.31,65.2,2,123,317,0,30,27,12,205,51,6,46.8,1,5
37,Aleksandr Golovin,"MF,FW",ru RUS,28.0,Monaco,fr Ligue 1,1153,12.8,3,0,2.3,2.3,0,2.4,24,9,0.13,0.33,37.5,21.399999999999995,24,3.74,0.08,77.1,39,504,840,9,31,72,18,563,9,22,40.9,38,50
40,Alessandro Zanoli,"FW,DF",it ITA,24.0,Genoa,it Serie A,1711,19.0,1,0,0.4,0.4,0,1.6,11,3,0.09,0.33,27.3,20.8,19,1.68,0.05,66.9,65,364,720,4,43,90,9,442,19,13,50.0,29,41
43,Alex Baena,"MF,FW",es ESP,23.0,Villarreal,es La Liga,2595,28.8,7,0,6.3,7.1,9,11.7,69,17,0.1,0.41,24.6,21.0,95,5.86,0.73,66.6,91,895,1569,8,89,154,32,1044,16,29,45.7,28,50
44,Alex Iwobi,"FW,MF",ng NGA,29.0,Fulham,eng Premier League,2981,33.1,9,0,4.7,4.7,6,7.0,68,29,0.13,0.31,42.6,18.3,59,3.68,0.48,75.1,144,1312,1861,9,116,246,40,1447,7,12,18.4,44,58
45,Alex Sola,"MF,FW",es ESP,25.0,Getafe,es La Liga,1029,11.4,0,0,1.0,1.0,1,0.7,15,2,0.0,0.0,13.3,18.6,9,2.28,0.18,64.0,24,265,446,0,35,61,21,302,18,16,39.1,21,28
46,Alexander Bernhardsson,"FW,MF",se SWE,26.0,Holstein Kiel,de Bundesliga,1263,14.0,7,0,4.1,4.1,2,1.3,27,14,0.26,0.5,51.9,17.5,17,2.57,0.5,60.5,25,264,520,11,41,72,18,304,19,11,35.8,29,34
47,Alexander Isak,FW,se SWE,25.0,Newcastle Utd,eng Premier League,2756,30.6,23,4,17.2,20.3,6,4.3,95,41,0.2,0.45999999999999996,43.2,14.5,41,3.01,0.46,75.3,83,615,1025,7,189,217,55,740,26,10,32.1,12,15
48,Alexander Sørloth,FW,no NOR,29.0,Atlético Madrid,es La Liga,1566,17.4,20,1,16.0,16.8,2,1.6,78,40,0.24,0.48,51.3,12.0,13,1.73,0.29,63.8,32,323,602,2,116,81,32,454,98,3,66.2,9,10
49,Alexandre Lacazette,FW,fr FRA,33.0,Lyon,fr Ligue 1,2051,22.8,15,5,11.7,16.3,2,3.4,53,31,0.19,0.32,58.5,13.5,26,2.46,0.22,71.8,24,418,742,3,137,159,20,572,16,11,33.3,13,21
